Posto,Município,Região,Normal (mm),Observado (mm),Desvio (%)
CARMELOPOLES,Campos Sales,SERTAO CENTRAL E INHAMUNS,662.1,N.I.,N.I.
ITAGUA,Campos Sales,SERTAO CENTRAL E INHAMUNS,397.3,N.I.,N.I.
ACUDE POCO DE PEDRAS,Campos Sales,SERTAO CENTRAL E INHAMUNS,0,N.I.,N.I.
PAJEU,Araripe,SERTAO CENTRAL E INHAMUNS,555.7,N.I.,N.I.
GUARIBAS,Acopiara,SERTAO CENTRAL E INHAMUNS,565.7,N.I.,N.I.
FAZENDA MORADA NOVA,Acopiara,SERTAO CENTRAL E INHAMUNS,579.3,N.I.,N.I.
FIGUEIREDO,Catarina,SERTAO CENTRAL E INHAMUNS,0,N.I.,N.I.
FECHADO,Catarina,SERTAO CENTRAL E INHAMUNS,0,N.I.,N.I.
CAICARINHA,Choró,SERTAO CENTRAL E INHAMUNS,482.2,N.I.,N.I.
CACHOEIRA DO FOGO,Independência,SERTAO CENTRAL E INHAMUNS,458.6,N.I.,N.I.
MONTE SINAI,Independência,SERTAO CENTRAL E INHAMUNS,429.5,N.I.,N.I.
MUQUEM,Independência,SERTAO CENTRAL E INHAMUNS,0,N.I.,N.I.
LOGRADOURO,Independência,SERTAO CENTRAL E INHAMUNS,0,N.I.,N.I.
MACAOCA,Madalena,SERTAO CENTRAL E INHAMUNS,476.3,N.I.,N.I.
PAU FERRO,Madalena,SERTAO CENTRAL E INHAMUNS,306.7,N.I.,N.I.
ACUDE SAO JOSE II,Piquet Carneiro,SERTAO CENTRAL E INHAMUNS,0,N.I.,N.I.
AEROPORTO(IGUATU),Iguatu,SERTAO CENTRAL E INHAMUNS,260.4,N.I.,N.I.
SAO DOMINGOS,Caridade,SERTAO CENTRAL E INHAMUNS,565.2,N.I.,N.I.
CAPITAO MOR,Pedra Branca,SERTAO CENTRAL E INHAMUNS,0,N.I.,N.I.
NOSSA SRA. DO LIVRAMENTO,Monsenhor Tabosa,SERTAO CENTRAL E INHAMUNS,418.2,N.I.,N.I.
FAZENDA GRACINHA,Crateús,SERTAO CENTRAL E INHAMUNS,540.4,N.I.,N.I.
BELEM,Crateús,SERTAO CENTRAL E INHAMUNS,0,N.I.,N.I.
SITIO BAIXA GRANDE,Crateús,SERTAO CENTRAL E INHAMUNS,0,N.I.,N.I.
FAZENDA TAPUIO,Crateús,SERTAO CENTRAL E INHAMUNS,0,N.I.,N.I.
EMAUS,Novo Oriente,SERTAO CENTRAL E INHAMUNS,450.4,N.I.,N.I.
